Arabic,English
سلام,Hello
وداعاً,Goodbye
شكراً,Thank you
نعم,Yes
لا,No
من فضلك,Please
كيف حالك؟,How are you?
جيد,Good
أين؟,Where?
متى؟,When?
ما؟,What?
لماذا؟,Why?
مساعدة,Help
حسنًا,Okay
ممكن,Maybe
لا أفهم,I don't understand
أنا, I
أنت,You
هو,He
هي,She
نحن,We
هم,They
الوقت,Time
الآن,Now
غدًا,Tomorrow
اليوم,Today
أمس,Yesterday
دائمًا,Always
أبداً,Never
أسبوع,Week
شهر,Month
سنة,Year
سيارة,Car
قطار,Train
طائرة,Airplane
حافلة,Bus
مطار,Airport
مدرسة,School
جامعة,University
مستشفى,Hospital
مكتبة,Library
محل,Store
مطبخ,Kitchen
غرفة,Room
منزل,House
شقة,Apartment
حيوان,Animal
طائر,Bird
قط,Cat
كلب,Dog
سمك,Fish
أرز,Rice
خبز,Bread
ماء,Water
قهوة,Coffee
شاي,Tea
فاكهة,Fruit
خضار,Vegetables
لحم,Meat
دجاج,Chicken
سلطة,Salad
حلويات,Sweets
موسيقى,Music
فيلم,Movie
كتاب,Book
قلم,Pencil
ورقة,Paper
حقيبة,Bag
نظارات,Glasses
ملابس,Clothes
حذاء,Shoes
شمس,Sun
قمر,Moon
سماء,Sky
بحر,Sea
جبل,Mountain
شجرة,Tree
زهرة,Flower
قلب,Heart
أذن,Ear
أنف,Nose
فم,Mouth
يد,Hand
قدم,Foot
أصبع,Finger
رأس,Head
شعر,Hair
وجه,Face
ساق,Leg
